entry_time,exit_time,direction,result,exit_reason,r_multiple,net_pips,net_money,atr,signal_rsi,ema_sep,duration_min
2025-06-17 16:10:00,2025-06-17 17:15:00,BUY,LOSS,SL,-1.211504795738178,-10.310445324503291,-11.01044532450329,0.0005673630216335256,44.64409964097053,0.0002074016448974092,65.0
2025-06-17 18:45:00,2025-06-17 19:45:00,SELL,WIN,TP,1.818251761258578,18.007619732292724,17.307619732292725,0.0006602539910764357,46.61694356648079,-0.0010932041730671305,60.0
2025-06-17 22:40:00,2025-06-18 00:00:00,SELL,WIN,TP,1.73367199720775,13.019074066786597,12.319074066786598,0.0005006358022261937,49.043444333339735,-0.0034326723393951486,80.0
2025-06-18 00:10:00,2025-06-18 03:40:00,SELL,LOSS,SL,-1.7642246965358301,-14.081945660289204,-14.781945660289203,0.0005321297106858813,52.91303216507728,-0.003483297620640702,210.0
2025-06-18 04:45:00,2025-06-18 05:25:00,SELL,LOSS,SL,-1.3289354896239112,-7.676208587806586,-8.376208587806586,0.0003850805725203993,59.49931237644427,-0.0019869439013195933,40.0
2025-06-18 05:35:00,2025-06-18 06:20:00,SELL,LOSS,SL,-1.393181398127416,-7.086710636681424,-7.786710636681424,0.0003391140424453845,56.93467889822449,-0.0015790266497996974,45.0
2025-06-18 06:50:00,2025-06-18 07:35:00,SELL,LOSS,SL,-1.4105750638590124,-6.184094793974391,-6.884094793974391,0.00029227298626503286,56.059366342075094,-0.0010791009320345601,45.0
2025-06-18 07:40:00,2025-06-18 07:55:00,SELL,LOSS,SL,-1.431386511412442,-5.9725922169111305,-6.672592216911131,0.0002781728144607664,59.22888668069698,-0.0008392942617507781,15.0
2025-06-18 08:10:00,2025-06-18 08:35:00,SELL,LOSS,SL,-1.5369787916175677,-6.2969960719916545,-6.996996071991655,0.0002731330714661056,51.4874014374929,-0.0006741573631978692,25.0
2025-06-18 08:50:00,2025-06-18 09:00:00,SELL,LOSS,SL,-1.4300793784976045,-5.98527390522172,-6.68527390522172,0.00027901826034817164,50.73146989330407,-0.0005198203116574263,10.0
2025-06-18 09:05:00,2025-06-18 09:10:00,SELL,LOSS,SL,-1.4118528744801424,-6.856103050208116,-7.556103050208116,0.00032374020334726685,51.242508569883505,-0.0004799180428982641,5.0
2025-06-18 09:40:00,2025-06-18 10:00:00,SELL,LOSS,SL,-1.3113216218652426,-7.581802077271525,-8.281802077271525,0.00038545347181817335,57.21544009485225,-0.00027196239258309163,20.0
2025-06-18 10:45:00,2025-06-18 11:15:00,BUY,LOSS,SL,-1.275766102779785,-8.327270690108723,-9.027270690108722,0.0004351513793406537,54.801536306830656,0.00013876484204966566,30.0
2025-06-18 11:20:00,2025-06-18 11:40:00,BUY,LOSS,SL,-1.2816965876757718,-8.189853760215836,-8.889853760215836,0.0004259902506810835,40.01842542906956,0.00020737541171600427,20.0
2025-06-18 11:50:00,2025-06-18 11:55:00,BUY,LOSS,SL,-1.272516323942756,-8.405108912220992,-9.105108912220992,0.00044034059414811444,47.4743284504496,0.00011309616426524727,5.0
2025-06-18 12:05:00,2025-06-18 13:50:00,BUY,LOSS,SL,-1.2885435820671636,-8.48479383387478,-9.18479383387478,0.0004389862555916127,41.6488094291481,6.646306851143535e-05,105.0
2025-06-18 14:25:00,2025-06-18 14:55:00,SELL,LOSS,SL,-1.2782996167469276,-8.267849366953438,-8.967849366953438,0.0004311899577969605,46.707200713877754,-0.00019601903319621528,30.0
2025-06-18 15:00:00,2025-06-18 15:20:00,SELL,LOSS,SL,-1.2921664578757943,-8.403142125944273,-9.103142125944272,0.0004335428083962831,58.473879383106855,-0.0002276513112269285,20.0
2025-06-18 15:40:00,2025-06-18 16:30:00,SELL,WIN,TP,1.7258507560484233,11.9610632122238,11.261063212223801,0.00046203544040744973,56.789347972537705,-5.2447636760710736e-05,50.0
2025-06-18 17:10:00,2025-06-18 18:25:00,SELL,LOSS,SL,-1.14408474896335,-14.29264764626723,-14.99264764626723,0.0008328431764178401,55.39168968733836,-0.00019580113357009488,75.0
2025-06-18 19:15:00,2025-06-18 19:35:00,BUY,LOSS,SL,-1.1870517795257913,-11.423003879264403,-12.123003879264402,0.0006415335919509758,51.92143771215958,0.0004252335350840575,20.0
2025-06-18 19:40:00,2025-06-18 20:30:00,BUY,LOSS,SL,-1.2135489237107848,-10.228981840422623,-10.928981840422622,0.0005619321226948876,43.54749767169221,0.000406199241347327,50.0
2025-06-18 20:55:00,2025-06-18 21:00:00,BUY,WIN,TP,1.7495651113688748,12.574993914281208,11.874993914281209,0.00047916646380934027,42.02104897275266,2.3570103360404104e-05,5.0
2025-06-18 21:05:00,2025-06-18 21:05:00,SELL,LOSS,SL,-1.155361218005912,-13.385902988553443,-14.085902988553443,0.0007723935325703011,49.96774902033301,-1.2336505718746338e-05,0.0
2025-06-18 21:20:00,2025-06-18 21:40:00,BUY,LOSS,SL,-1.1502156482038637,-13.782772910297258,-14.482772910297257,0.0007988515273531159,54.714882903304236,4.247148563996106e-05,20.0
2025-06-18 21:45:00,2025-06-18 21:50:00,BUY,LOSS,SL,-1.1250182813484784,-16.197894296616088,-16.897894296616087,0.0009598596197743628,40.52071753323577,3.623862899004848e-05,5.0
2025-06-18 23:05:00,2025-06-19 09:20:00,SELL,WIN,TP,1.860444532330706,25.329316510943848,24.62931651094385,0.0009076438836981401,45.72536135593472,-0.0011014152941932753,615.0
2025-06-19 09:45:00,2025-06-19 09:50:00,SELL,LOSS,SL,-1.2395899531201335,-9.312835895491233,-10.012835895491232,0.0005008557263660426,48.58620549821399,-0.001564775028614518,5.0
2025-06-19 09:55:00,2025-06-19 10:20:00,SELL,LOSS,SL,-1.243971715748743,-9.177904420091675,-9.877904420091674,0.0004918602946727714,56.9519835114053,-0.0015160591668497148,25.0
2025-06-19 10:35:00,2025-06-19 11:50:00,SELL,LOSS,SL,-1.212664900495512,-10.26402013593206,-10.96402013593206,0.0005642680090620679,59.44865853428643,-0.001258861280773127,75.0
2025-06-19 12:10:00,2025-06-19 14:20:00,SELL,LOSS,SL,-1.2201589346942843,-9.975911654457747,-10.675911654457746,0.0005450607769639178,57.29064530982392,-0.0007486686786846164,130.0
2025-06-19 14:40:00,2025-06-19 17:25:00,SELL,WIN,TP,1.7466169573719819,12.40773846054546,11.70773846054546,0.00047359128201817323,58.20181420654843,-0.00013315256942481035,165.0
2025-06-19 17:40:00,2025-06-19 18:55:00,BUY,LOSS,SL,-1.239655323896647,-9.310786619437938,-10.010786619437937,0.0005007191079625362,41.383980138141276,2.361499455316718e-06,75.0
2025-06-19 20:10:00,2025-06-19 20:30:00,SELL,LOSS,SL,-1.3792236964140143,-7.6376286341224375,-8.337628634122437,0.0003691752422747566,49.602944265380295,-0.0006391256886904007,20.0
2025-06-19 20:35:00,2025-06-19 20:45:00,SELL,LOSS,SL,-1.308930653926108,-7.626550318410728,-8.326550318410728,0.00038843668789403186,58.71600137595602,-0.0006356763381936137,10.0
2025-06-20 00:00:00,2025-06-20 01:05:00,BUY,WIN,TP,1.2857483111906767,7.0205202062634395,6.320520206263439,0.0003640173402088119,46.55275875974422,0.0009271940215900276,65.0
2025-06-20 01:30:00,2025-06-20 02:15:00,BUY,WIN,TP,1.5134965927208544,6.533033062384055,5.833033062384055,0.0002877677687461636,51.67890806110082,0.001047532898941217,45.0
2025-06-20 04:15:00,2025-06-20 06:40:00,BUY,WIN,TP,1.6718642654784455,9.680573525600268,8.980573525600269,0.00038601911752001713,54.33201660584164,0.0017681284938542152,145.0
2025-06-20 07:40:00,2025-06-20 08:25:00,BUY,LOSS,SL,-1.444023739121719,-6.5042636773340305,-7.204263677334031,0.0003002842451556475,52.41804379325292,0.0020284484109822642,45.0
2025-06-20 08:30:00,2025-06-20 09:20:00,BUY,LOSS,SL,-1.4410338845414745,-5.881319062074762,-6.581319062074762,0.000272087937471581,40.263244434573124,0.0019507058866177207,50.0
2025-06-20 10:30:00,2025-06-20 10:35:00,BUY,LOSS,SL,-1.304662440820712,-7.7081782288328275,-8.408178228832828,0.0003938785485888894,45.616162764634836,0.0013827814824911577,5.0
2025-06-20 10:45:00,2025-06-20 11:55:00,BUY,WIN,TP,1.693379288079832,10.493161493255977,9.793161493255978,0.000413105383108542,40.30709672673592,0.0012848311743376417,70.0
2025-06-20 13:30:00,2025-06-20 14:00:00,BUY,LOSS,SL,-1.3619376637916019,-7.525813420599324,-8.225813420599323,0.00036838756137323747,53.46410880724136,0.001174070611849043,30.0
2025-06-20 14:05:00,2025-06-20 14:20:00,BUY,LOSS,SL,-1.3204683502584211,-7.41677931236737,-8.11677931236737,0.0003744519541577914,40.57747284018837,0.0011280062242973177,15.0
2025-06-20 14:40:00,2025-06-20 15:45:00,BUY,LOSS,SL,-1.3269228156008293,-7.305886754009204,-8.005886754009204,0.0003670591169339485,40.23912916887762,0.0009282962708827558,65.0
