entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,atr,result,exit_reason,gross_pips,cost_pips,net_pips,net_money,gross_money,r_multiple,signal_rsi,ema_sep,mae_pips,mae_r,mfe_pips,signal_close,signal_range,signal_ema_fast,signal_ema_slow
2025-06-17 16:10:00,2025-06-17 17:15:00,BUY,1.15582,1.15497,1.15497,1.15752,0.00057,LOSS,SL,-8.5,1.8,-10.3,-11.01,-8.51,-1.212,44.64,0.000207,15.7,1.845,10.7,1.15581,0.0005,1.156171,1.155963
2025-06-17 18:45:00,2025-06-17 19:45:00,SELL,1.1532,1.15122,1.15419,1.15122,0.00066,WIN,TP,19.8,1.8,18.0,17.31,19.81,1.818,46.62,-0.001093,6.6,0.666,26.2,1.15319,0.00076,1.154335,1.155428
2025-06-17 22:40:00,2025-06-18 00:00:00,SELL,1.14864,1.14714,1.14939,1.14714,0.0005,WIN,TP,15.0,2.0,13.0,12.32,15.02,1.734,49.04,-0.003433,1.9,0.253,16.8,1.14865,0.00038,1.149814,1.153247
2025-06-18 00:10:00,2025-06-18 03:40:00,SELL,1.14844,1.14924,1.14924,1.14684,0.00053,LOSS,SL,-8.0,6.1,-14.1,-14.78,-7.98,-1.764,52.91,-0.003483,9.4,1.178,10.3,1.14848,0.001,1.14891,1.152394
2025-06-18 04:45:00,2025-06-18 05:25:00,SELL,1.14943,1.15001,1.15001,1.14827,0.00039,LOSS,SL,-5.8,1.9,-7.7,-8.38,-5.78,-1.329,59.5,-0.001987,6.4,1.108,2.0,1.14944,0.00047,1.148747,1.150734
2025-06-18 05:35:00,2025-06-18 06:20:00,SELL,1.14965,1.15016,1.15016,1.14863,0.00034,LOSS,SL,-5.1,2.0,-7.1,-7.79,-5.09,-1.393,56.93,-0.001579,5.5,1.081,3.8,1.14962,0.0003,1.149054,1.150633
2025-06-18 06:50:00,2025-06-18 07:35:00,SELL,1.15001,1.15045,1.15045,1.14913,0.00029,LOSS,SL,-4.4,1.8,-6.2,-6.88,-4.38,-1.411,56.06,-0.001079,5.0,1.14,4.1,1.15001,0.00022,1.149453,1.150532
2025-06-18 07:40:00,2025-06-18 07:55:00,SELL,1.15024,1.15066,1.15066,1.14941,0.00028,LOSS,SL,-4.2,1.8,-6.0,-6.67,-4.17,-1.431,59.23,-0.000839,5.0,1.198,0.4,1.15024,0.00028,1.149644,1.150483
2025-06-18 08:10:00,2025-06-18 08:35:00,SELL,1.15014,1.15055,1.15055,1.14932,0.00027,LOSS,SL,-4.1,2.2,-6.3,-7.0,-4.1,-1.537,51.49,-0.000674,5.0,1.22,1.2,1.15014,0.00043,1.149804,1.150478
2025-06-18 08:50:00,2025-06-18 09:00:00,SELL,1.15022,1.15064,1.15064,1.14938,0.00028,LOSS,SL,-4.2,1.8,-6.0,-6.69,-4.19,-1.43,50.73,-0.00052,5.6,1.338,2.4,1.15022,0.00047,1.149946,1.150465
